code,pinyin,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000584,HGZN,哈工智能,专用机械,江苏,0.0,5.98,7.61,51.25,28.5,0.99,12.06,1.59,-0.04,3.11,2.05,19951128,3.17,0.42,-6.54,-157.02,13.56,-2.49,36122.0
000585,STDD,*ST东电,电气设备,海南,7.77,6.09,8.73,4.78,1.49,0.46,11.07,1.27,0.187,0.15,13.02,19951213,-18.96,-2.17,-16.74,2992.77,34.49,272.6,52128.0
000586,HYTX,汇源通信,通信设备,四川,134.94,1.93,1.93,6.45,5.6,0.44,0.65,0.33,0.045,1.31,6.18,19951220,-0.23,-0.12,8.49,40.71,34.32,2.89,21310.0
000587,STJZ,*ST金洲,批发业,黑龙江,0.0,12.13,21.24,198.59,125.9,5.62,47.45,2.23,-1.23,-1.1,-1.39,19960425,-93.64,-4.41,-5.37,-21.38,-120.78,-239.93,39527.0
000589,GZLT,贵州轮胎,汽车配件,贵州,10.46,7.75,7.98,104.94,50.69,31.91,18.75,2.35,0.52,5.12,1.39,19960308,10.16,1.27,1.79,214.53,25.17,8.24,47285.0
000590,QDGH,启迪古汉,中成药,湖南,88.94,2.39,2.39,8.6,4.95,1.38,4.74,1.98,0.081,2.68,3.57,19960119,-1.18,-0.49,-17.57,11.5,54.25,10.94,17602.0
000591,TYN,太阳能,新型电力,重庆,10.73,20.37,30.07,389.49,101.46,261.78,66.93,2.23,0.326,4.65,1.0,19960208,41.43,1.38,2.72,19.7,55.81,25.98,81768.0
000592,PTFZ,平潭发展,林业,福建,135.94,19.14,19.32,50.45,42.12,3.18,14.2,0.73,0.016,1.68,1.73,19960327,-1.43,-0.07,9.32,2.07,14.07,4.15,113882.0
000593,DTRQ,大通燃气,供气供热,四川,74.2,3.58,3.59,20.33,5.51,6.48,6.56,1.83,0.055,2.74,1.99,19960312,-0.5,-0.14,26.41,-14.36,20.33,2.44,30462.0
000595,STBS,*ST宝实,机械基件,宁夏,0.0,7.52,7.64,14.89,6.62,4.38,4.81,0.63,-0.04,0.35,6.76,19960419,-9.74,-1.27,-30.96,43.91,-5.88,-31.68,35050.0
000596,GJGJ,古井贡酒,白酒,安徽,55.51,3.84,5.04,149.83,114.85,16.6,12.95,2.57,3.05,19.31,11.7,19960927,76.7,15.23,-1.63,-11.71,75.98,19.06,31889.0
000597,DBZY,东北制药,化学制药,辽宁,6976.49,12.49,13.51,130.21,63.3,48.77,21.83,1.62,0.001,2.93,1.9,19960523,4.05,0.3,-9.28,-99.54,40.64,0.01,40208.0
000598,XRHJ,兴蓉环境,水务,四川,11.3,29.86,29.86,289.93,71.16,87.23,17.8,0.6,0.35,4.03,1.31,19960529,69.16,2.32,14.22,11.88,43.2,27.84,115804.0
000599,QDSX,青岛双星,汽车配件,山东,421.81,7.68,8.22,105.01,48.12,41.62,19.7,2.4,0.01,4.1,1.18,19960430,5.23,0.64,3.41,-75.62,14.19,0.22,56738.0
000600,JTNY,建投能源,火力发电,河北,9.3,10.9,17.92,325.46,62.85,191.99,44.55,2.49,0.461,6.74,0.85,19960606,50.66,2.83,-2.77,77.85,21.88,8.34,63669.0
