代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
300648	星云股份	20201027	20170425	          1.35	--  	--  	11.57	5.83	          0.08	48.95	7.34	1.30	0.67	4.48	1.38	2.11	2.54	--  	2.26	3.98	2.02	0.62	-0.03	0.62	0.55	0.52	0.46	2.02	0.17	0.62	8104.00	          7575	23.85万	724.90	51.62	          7.31	248.20	10.70	0.03	0.387㈢	          4.31	0.00	          1.67	          1.49	          0.13	         50.39	   8.99㈢	         49.29	         15.67	         13.16	0.53	1137	300648	--  	--  	--  	
300649	杭州园林	20201029	20170505	          1.28	--  	--  	11.32	4.32	--  	61.84	9.06	1.86	0.01	6.98	0.39	0.00	2.90	--  	0.67	4.64	3.67	0.41	-0.01	0.39	0.35	0.35	0.34	2.04	-0.46	-0.33	10473.00	          5036	8.44万	-15.83	-13.82	          4.97	-46.60	4.63	0.63	0.280㈢	          3.37	0.00	          0.52	          1.59	         -0.36	         38.16	   8.21㈢	         20.94	          8.90	          7.65	0.22	270	300649	--  	--  	--  	
300650	太龙照明	20201027	20170503	          1.07	--  	--  	16.78	5.18	          0.20	67.96	8.57	1.72	0.19	10.96	0.95	2.19	2.78	--  	1.68	2.39	1.63	0.02	0.02	0.03	0.01	0.05	0.03	2.34	-0.07	-1.09	4244.00	          9188	20.19万	-88.59	-38.44	          4.56	-330.03	9.87	0.54	0.040㈢	          4.82	0.00	          1.57	          2.18	         -0.07	         30.85	   0.91㈢	         32.00	          0.98	          1.97	0.18	985	300650	--  	--  	--  	
300651	金陵体育	20201030	20170509	          1.29	--  	--  	9.72	6.86	          0.07	28.73	4.63	3.16	0.53	2.71	0.32	1.48	0.68	--  	1.96	3.00	1.93	0.38	-0.07	0.38	0.30	0.30	0.27	3.28	0.22	-0.08	4515.00	         14465	61.96万	8.43	-2.99	          8.04	250.18	18.35	0.23	0.229㈢	          5.33	0.00	          1.52	          2.55	          0.17	         70.57	   4.31㈢	         35.91	         12.72	          9.83	0.09	663	300651	--  	--  	--  	
300652	雷迪克	20201030	20170516	          0.94	--  	--  	12.45	8.41	--  	32.50	8.93	1.82	0.60	1.58	1.41	1.40	0.84	--  	3.59	3.10	2.13	0.47	0.06	0.47	0.40	0.40	0.40	3.17	0.46	-1.52	6657.00	          5599	12.96万	-14.72	-6.00	          2.55	47.21	7.01	1.01	0.460㈢	          9.07	9.07	          3.83	          3.38	          0.49	         67.50	   4.80㈢	         31.32	         15.19	         13.03	0.11	783	300652	--  	--  	--  	
300653	正海生物	20201029	20170516	          1.20	--  	--  	7.58	6.23	--  	17.76	5.17	0.30	0.41	1.22	2.48	0.22	0.66	0.27	2.29	2.16	0.16	1.09	0.05	1.13	0.95	0.95	0.89	2.41	0.84	1.70	16679.00	          3440	21.67万	19.74	7.39	         12.13	90.34	34.96	0.79	0.790㈢	          5.19	0.00	          1.91	          2.01	          0.70	         82.24	  15.30㈢	         92.69	         50.43	         44.10	0.17	285	300653	--  	--  	--  	
300654	世纪天鸿	20201204	20170926	          1.82	--  	--  	7.31	4.86	          0.08	32.43	5.67	0.47	0.39	2.24	1.01	0.37	1.97	--  	1.17	2.41	1.63	0.35	0.17	0.36	0.26	0.26	0.11	1.66	-0.40	-0.23	11341.00	          7586	7.59万	30.70	-9.37	          3.74	-45.58	7.56	0.58	0.150㈢	          2.67	0.00	          0.64	          0.91	         -0.22	         66.52	   5.44㈢	         32.47	         14.61	         10.99	0.00	597	300654	--  	--  	--  	
300655	晶瑞股份	20201203	20170523	          1.89	--  	--  	21.06	12.97	          0.71	35.01	9.82	4.76	1.05	4.80	2.72	1.02	2.81	0.00	8.84	7.14	5.19	0.78	0.02	0.77	0.66	0.62	0.31	1.86	0.06	0.56	40304.00	          3002	10.22万	196.42	25.32	          5.00	1119.34	9.00	0.29	0.350㈢	          6.80	6.80	          4.68	          0.98	          0.03	         61.60	   4.75㈢	         27.36	         10.86	          8.64	0.24	444	300655	--  	--  	--  	
300656	民德电子	20201202	20170519	          1.09	--  	--  	7.72	5.13	          0.10	32.19	4.79	0.10	0.06	1.78	1.29	0.96	1.78	0.00	1.79	2.26	1.58	0.30	0.03	0.30	0.27	0.28	0.24	1.88	-0.03	0.77	11180.00	          3141	9.20万	20.35	26.89	          6.22	-964.82	14.14	0.31	0.256㈢	          4.71	0.00	          1.64	          1.73	         -0.03	         66.45	   5.44㈢	         29.80	         13.51	         12.37	0.11	232	300656	--  	--  	--  	
300657	弘信电子	20201029	20170523	          3.42	--  	--  	39.92	14.62	          0.94	61.01	24.64	10.17	0.43	21.38	4.68	3.52	11.26	--  	6.05	19.12	17.26	0.91	-0.02	0.86	0.74	0.68	-0.18	4.75	2.09	-0.69	22346.00	          9121	15.03万	-51.75	-1.45	          3.85	26.94	2.95	0.37	0.199㈢	          4.28	0.00	          1.77	          1.39	          0.61	         36.63	   4.66㈢	          9.75	          4.74	          3.56	0.85	4785	300657	--  	--  	--  	
300658	延江股份	20201117	20170602	          1.52	--  	--  	19.50	11.19	          0.11	42.02	11.14	5.79	0.11	6.05	3.42	2.39	2.30	--  	4.26	12.68	6.89	3.72	0.10	3.81	3.19	3.16	3.02	5.07	3.33	0.59	15629.00	          2813	7.23万	395.28	64.88	          3.48	11.70	3.07	1.17	2.080㈢	          7.37	0.00	          2.80	          3.34	          2.20	         57.39	  28.21㈢	         45.66	         29.35	         24.89	0.36	1099	300658	--  	--  	--  	
300659	中孚信息	20201203	20170526	          2.27	--  	--  	15.12	12.93	         -0.00	14.50	13.97	0.41	0.04	2.11	5.27	0.71	2.54	0.00	9.09	3.79	1.22	0.25	0.01	0.22	0.20	0.20	0.13	1.87	-0.50	1.51	13980.00	          7816	37.36万	44.16	25.27	          8.38	-218.40	28.59	0.24	0.090㈢	          5.71	5.71	          4.01	          0.83	         -0.22	         85.50	   1.53㈢	         67.75	          6.55	          5.22	0.94	984	300659	--  	--  	--  	
300660	江苏雷利	20201030	20170602	          2.59	--  	--  	35.49	24.47	          0.25	30.35	28.80	3.09	0.92	10.53	12.59	4.08	7.42	--  	14.21	17.10	11.93	2.63	0.06	2.63	2.30	2.22	2.00	7.12	4.53	2.86	14732.00	          4438	8.14万	13.43	-3.07	          1.94	10.51	2.78	2.18	0.860㈢	          9.44	0.00	          5.48	          2.75	          1.75	         68.95	   9.05㈢	         30.27	         15.37	         12.95	0.78	3821	300660	--  	--  	--  	
300661	圣邦股份	20201202	20170606	          1.56	--  	--  	17.05	13.63	          0.04	19.84	13.24	0.47	0.11	2.73	6.79	2.35	1.48	--  	5.84	8.63	4.24	2.26	0.40	2.25	2.05	2.07	2.04	5.79	1.42	4.29	18613.00	          4638	129.91万	72.66	61.56	         32.02	308.63	50.77	0.12	1.340㈢	          8.75	8.75	          3.73	          3.70	          0.91	         79.93	  15.19㈢	         50.88	         26.25	         24.00	1.50	399	300661	--  	--  	--  	
300662	科锐国际	20201203	20170608	          1.83	--  	--  	17.73	9.80	          1.50	36.27	12.71	0.11	1.73	5.95	4.04	0.00	7.97	--  	2.79	27.38	23.53	1.82	0.01	1.97	1.51	1.34	1.08	5.25	1.40	0.13	6465.00	         14340	73.42万	16.42	4.67	          9.52	66.85	3.42	0.33	0.740㈢	          5.38	5.38	          1.52	          2.87	          0.77	         55.26	  13.65㈢	         14.05	          6.64	          4.89	0.11	2218	300662	--  	--  	--  	
300663	科蓝软件	20201116	20170608	          3.14	--  	--  	19.04	7.26	          0.09	61.44	13.74	0.07	0.95	9.74	0.48	3.72	8.74	--  	2.46	6.00	3.83	-0.36	-0.01	-0.36	-0.24	-0.20	-0.22	1.85	-3.72	-1.74	32477.00	          5687	13.19万	67.41	26.51	          9.60	-19.57	12.12	0.10	-0.070㈢	          2.42	2.42	          0.79	          0.59	         -1.19	         38.11	  -2.73㈢	         36.15	         -5.94	         -3.30	0.86	4267	300663	--  	--  	--  	
300664	鹏鹞环保	20201030	20180105	          7.15	--  	--  	65.87	33.66	          2.71	44.79	24.30	3.35	0.72	20.04	5.82	6.32	8.02	--  	9.14	13.28	8.12	3.38	-0.12	3.50	2.92	2.75	2.69	17.47	-1.88	-0.17	54484.00	          8843	7.40万	44.28	26.54	          1.78	-31.75	4.50	0.52	0.384㈢	          4.71	0.00	          1.28	          2.44	         -0.26	         51.10	   8.16㈢	         38.87	         25.41	         20.67	0.19	1356	300664	--  	--  	--  	
300665	飞鹿股份	20201028	20170613	          1.22	--  	--  	12.15	5.13	          0.05	57.35	7.75	1.78	0.66	4.60	1.68	1.27	3.52	--  	1.57	3.49	2.64	0.16	0.00	0.17	0.15	0.16	0.10	1.84	-0.57	-0.16	9501.00	          8061	9.59万	38.21	13.76	          3.07	-25.16	4.15	0.00	0.128㈢	          3.88	3.88	          1.29	          1.52	         -0.47	         42.25	   3.03㈢	         24.25	          4.54	          4.46	0.09	457	300665	--  	--  	--  	
300666	江丰电子	20201203	20170615	          2.23	--  	--  	20.29	10.40	          0.16	47.97	10.93	3.77	0.55	8.51	2.19	4.57	2.57	--  	4.61	8.45	5.80	1.18	0.00	1.21	1.08	1.10	0.59	3.22	-0.96	-0.29	40547.00	          3336	17.00万	238.01	48.63	         10.99	-118.98	13.46	0.12	0.500㈢	          4.64	4.64	          2.07	          1.44	         -0.43	         51.27	  10.57㈢	         31.35	         14.01	         13.01	0.50	844	300666	--  	--  	--  	
300667	必创科技	20201201	20170619	          1.91	--  	--  	14.77	9.91	          0.10	32.22	8.14	1.83	0.73	3.07	2.92	1.93	2.11	1.10	6.05	5.15	3.50	0.23	0.01	0.23	0.17	0.17	0.11	1.95	0.08	0.29	17618.00	          4700	12.83万	44.96	238.74	          5.27	673.09	10.10	0.24	0.120㈢	          5.18	5.18	          3.17	          1.02	          0.04	         67.09	   1.71㈢	         32.06	          4.48	          3.28	0.41	596	300667	--  	--  	--  	
300668	杰恩设计	20201202	20170619	          1.05	--  	--  	5.30	4.60	--  	13.29	4.21	0.82	0.04	0.70	0.95	0.00	2.42	--  	1.54	2.11	1.14	0.20	0.01	0.18	0.16	0.16	0.14	2.16	0.17	-0.16	8170.00	          4460	7.27万	-74.99	-21.58	          3.74	103.05	8.16	1.40	0.156㈢	          4.36	0.00	          1.46	          2.05	          0.16	         86.71	   3.57㈢	         46.09	          9.28	          7.80	0.12	657	300668	--  	--  	--  	
300669	沪宁股份	20201119	20170629	          1.11	--  	--  	6.28	5.40	--  	13.96	4.31	1.25	0.27	0.83	1.32	0.39	1.14	--  	2.82	2.59	1.73	0.46	0.01	0.46	0.40	0.40	0.36	1.36	0.67	0.78	4977.00	          7714	28.50万	-4.44	0.92	          7.60	61.46	15.82	0.48	0.370㈢	          4.86	0.00	          2.54	          1.22	          0.60	         86.04	   7.47㈢	         33.27	         17.67	         15.55	0.10	594	300669	--  	--  	--  	
300670	大烨智能	20201116	20170703	          3.16	--  	--  	12.79	9.01	          0.77	23.49	7.81	2.01	0.55	2.90	0.69	0.56	4.11	--  	3.24	3.71	2.48	0.57	0.00	0.56	0.48	0.38	0.36	2.37	0.59	-0.58	17939.00	          8066	7.12万	59.61	38.17	          3.10	47.15	7.52	0.00	0.121㈢	          2.85	0.00	          1.03	          0.75	          0.19	         70.46	   4.26㈢	         33.07	         15.30	         10.34	0.18	508	300670	--  	--  	--  	
300671	富满电子	20201202	20170705	          1.58	--  	--  	16.11	9.98	          0.03	37.90	12.35	2.85	0.32	5.46	2.60	2.85	3.86	0.02	5.48	5.13	3.82	0.65	0.00	0.65	0.61	0.62	0.51	2.74	-0.70	1.47	13053.00	          6111	26.07万	152.67	23.08	          6.74	-95.49	13.12	0.00	0.410㈢	          6.33	0.00	          3.47	          1.74	         -0.45	         61.94	   6.16㈢	         25.51	         12.75	         11.99	0.36	830	300671	--  	--  	--  	
300672	国科微	20201202	20170712	          1.80	--  	--  	26.14	11.48	         -0.20	56.82	16.60	0.73	1.18	12.30	2.12	4.05	2.93	--  	6.90	3.76	2.32	-0.08	-0.14	-0.10	0.05	0.02	-0.13	2.22	-2.99	-2.59	16740.00	          4347	20.16万	102.54	27.03	          7.28	-28.00	22.23	0.22	0.008㈢	          6.37	0.00	          3.83	          1.23	         -1.66	         43.94	   0.13㈢	         38.34	         -2.17	          0.40	1.09	508	300672	--  	--  	--  	
300673	佩蒂股份	20201201	20170711	          1.70	--  	--  	20.67	16.13	          0.13	21.30	12.49	2.52	0.52	4.37	5.33	2.20	3.66	--  	10.74	9.72	7.07	0.99	0.02	0.98	0.85	0.83	0.78	3.27	-0.35	2.46	11779.00	          6558	21.12万	166.76	38.97	          3.39	-155.66	5.62	0.00	0.520㈢	          9.50	0.00	          6.33	          1.93	         -0.21	         78.07	   5.14㈢	         27.24	         10.22	          8.54	0.19	3328	300673	--  	--  	--  	
300674	宇信科技	20201123	20181107	          4.12	--  	--  	42.39	22.11	          0.37	46.97	27.25	0.97	2.15	17.01	8.27	8.72	9.01	--  	9.28	16.22	10.31	1.55	0.12	1.57	1.29	1.37	1.21	8.23	-2.51	-1.81	22282.00	         10350	38.68万	52.42	5.12	          6.96	-61.44	9.49	0.39	0.340㈢	          5.37	0.00	          2.25	          2.00	         -0.61	         52.16	   6.17㈢	         36.46	          9.55	          8.42	1.89	10084	300674	--  	--  	--  	
300675	建科院	20201203	20170719	          1.47	--  	--  	11.02	4.74	          0.24	54.76	5.97	1.10	0.87	4.04	1.97	0.00	0.68	--  	1.28	3.04	2.04	0.19	-0.01	0.23	0.20	0.16	0.01	1.83	-0.05	-0.14	24488.00	          2550	4.60万	165.10	28.51	          5.58	-569.51	8.70	0.42	0.108㈢	          3.23	0.00	          0.87	          1.25	         -0.03	         43.03	   3.33㈢	         33.02	          6.31	          5.18	0.19	782	300675	--  	--  	--  	
300676	华大基因	20201028	20170714	          4.00	--  	--  	109.22	67.50	          1.18	37.11	80.90	12.14	1.51	26.33	40.42	11.10	21.16	--  	25.63	67.52	23.89	32.50	1.08	32.36	27.32	27.05	26.55	36.52	25.99	34.17	57439.00	          2885	37.75万	901.68	225.82	          7.76	20.14	7.75	0.08	6.790㈢	         16.87	0.00	          6.41	          9.13	          6.50	         61.80	  40.08㈢	         64.61	         48.13	         40.07	2.57	3585	300676	--  	--  	--  	
300677	英科医疗	20201028	20170721	          3.33	--  	--  	86.74	60.49	          0.24	29.99	58.80	16.20	2.95	18.41	38.75	5.65	6.21	0.33	10.44	89.45	28.15	52.63	0.06	52.49	43.72	43.73	43.70	48.21	51.69	33.70	25713.00	          7614	113.07万	3376.72	486.44	          5.47	9.58	5.54	0.29	20.830㈢	         27.16	27.16	          3.13	         14.46	         15.50	         69.74	  72.28㈢	         68.52	         58.83	         48.88	1.94	3671	300677	--  	--  	--  	
300678	中科信息	20201029	20170728	          1.80	--  	--  	8.49	5.98	          0.00	29.51	6.95	0.19	0.10	2.44	1.89	1.34	2.58	--  	1.78	1.66	1.25	0.15	0.09	0.15	0.14	0.14	0.09	2.06	-0.82	-0.93	23662.00	          3608	8.17万	15.39	12.31	          6.81	-49.74	24.49	0.22	0.079㈢	          3.32	0.00	          0.99	          1.14	         -0.45	         70.47	   2.37㈢	         24.63	          8.85	          8.51	0.15	480	300678	--  	--  	--  	
300679	电连技术	20201201	20170731	          2.81	--  	--  	44.27	34.92	          0.80	19.32	33.06	5.97	0.76	8.24	14.94	4.18	6.44	0.02	20.97	18.61	12.82	2.36	0.24	2.32	1.95	1.90	1.58	11.59	1.39	3.33	15327.00	          8636	30.35万	36.18	24.71	          2.83	71.23	5.30	0.51	0.680㈢	         12.44	0.00	          7.47	          4.13	          0.49	         78.88	   5.44㈢	         31.11	         12.67	         10.21	1.90	5210	300679	--  	--  	--  	
300680	隆盛科技	20201123	20170725	          1.44	--  	--  	13.69	7.93	          0.42	39.04	7.00	2.68	0.51	4.26	2.69	1.48	1.95	0.05	5.14	3.70	2.70	0.37	0.00	0.32	0.30	0.30	0.34	1.21	0.05	2.14	9110.00	         12547	40.05万	48.12	34.06	          5.81	868.59	12.45	0.16	0.208㈢	          5.50	0.00	          3.57	          0.84	          0.04	         57.91	   3.78㈢	         26.93	          9.97	          8.10	0.18	651	300680	--  	--  	--  	
300681	英搏尔	20201028	20170725	          0.76	--  	--  	9.68	5.65	--  	41.60	4.92	2.28	0.22	2.37	0.87	1.96	1.52	--  	3.61	2.45	2.08	0.01	0.00	0.01	0.02	0.02	-0.10	0.99	0.39	-0.46	4365.00	          6778	26.54万	103.24	10.14	          5.24	75.07	12.06	0.00	0.022㈢	          7.48	0.00	          4.77	          1.31	          0.52	         58.40	   0.29㈢	         15.18	          0.24	          0.67	0.20	831	300681	--  	--  	--  	
300682	朗新科技	20201130	20170801	         10.21	--  	--  	57.72	47.70	          0.85	15.90	41.10	0.46	0.68	8.82	15.15	4.56	14.42	--  	22.31	14.35	8.04	1.45	-0.05	1.35	1.15	1.36	1.39	15.71	-1.95	-3.38	24753.00	         12880	20.61万	-73.69	11.78	          3.42	-83.98	11.39	0.42	0.140㈢	          4.67	4.67	          2.18	          1.54	         -0.19	         82.63	   2.85㈢	         43.95	         10.13	          9.46	2.44	4055	300682	--  	--  	--  	
300683	海特生物	20201204	20170808	          1.03	--  	--  	21.28	17.25	          0.08	18.58	13.87	2.20	0.90	3.56	7.42	0.60	1.17	--  	9.90	3.49	1.34	-0.09	0.14	-0.09	-0.11	-0.11	-0.21	5.79	0.05	0.46	11918.00	          3911	16.82万	-115.45	-25.91	          2.58	908.16	12.75	0.37	-0.100㈢	         16.69	0.00	          9.57	          5.60	          0.05	         81.06	  -0.61㈢	         61.57	         -2.55	         -3.02	0.54	762	300683	--  	--  	--  	
300684	中石科技	20201028	20171227	          2.81	--  	--  	19.13	16.30	          0.17	13.92	15.33	2.95	0.41	2.66	4.02	1.55	3.31	--  	8.96	7.68	5.07	1.58	0.06	1.58	1.34	1.35	1.29	4.32	0.90	0.74	15182.00	          6841	16.03万	77.34	52.44	          4.04	72.95	8.57	1.61	0.520㈢	          5.80	0.00	          3.19	          1.54	          0.32	         85.20	   8.31㈢	         34.06	         20.51	         17.63	0.38	748	300684	--  	--  	--  	
300685	艾德生物	20201021	20170802	          2.22	--  	--  	12.27	10.58	--  	13.82	9.59	1.48	0.15	1.62	4.43	0.36	2.72	--  	4.28	4.84	0.61	1.45	-0.01	1.44	1.26	1.26	1.02	4.36	1.49	-0.61	16809.00	          7482	57.64万	15.87	17.35	         16.17	114.52	35.33	0.22	0.570㈢	          4.77	0.00	          1.93	          1.97	          0.67	         86.18	  11.93㈢	         87.39	         29.96	         26.06	0.87	654	300685	--  	--  	--  	
300686	智动力	20201208	20170804	          2.04	--  	--  	22.95	8.46	          1.06	58.51	12.30	6.29	0.37	12.23	3.07	2.97	5.50	0.03	1.92	15.34	11.56	1.44	0.01	1.46	1.24	0.92	0.84	4.36	1.61	1.03	16185.00	          6339	12.92万	-5.89	17.71	          4.93	25.84	2.72	0.31	0.450㈢	          4.14	0.00	          0.94	          2.13	          0.79	         36.87	  10.83㈢	         24.63	          9.36	          5.97	0.78	3823	300686	--  	--  	--  	
300687	赛意信息	20201030	20170803	          2.17	--  	--  	19.52	9.47	          1.48	43.88	14.09	0.19	0.13	4.03	5.71	0.71	5.73	--  	3.39	9.59	6.68	1.19	0.03	1.19	1.09	1.10	1.01	3.66	0.52	1.38	14684.00	          6620	15.76万	111.66	26.26	          5.46	99.95	5.39	0.51	0.500㈢	          4.36	0.00	          1.56	          1.68	          0.24	         48.51	  11.57㈢	         30.39	         12.44	         11.43	0.78	3724	300687	--  	--  	--  	
300688	创业黑马	20201022	20170810	          0.95	--  	--  	4.68	3.77	         -0.01	19.62	3.79	0.04	0.09	0.92	2.95	0.00	0.14	--  	1.75	1.06	0.46	0.10	-0.00	0.09	0.08	0.08	0.08	0.98	0.05	0.59	13299.00	          3581	8.40万	-60.62	-26.50	          5.93	482.50	21.14	0.36	0.080㈢	          3.96	0.00	          1.84	          1.03	          0.05	         80.56	   2.02㈢	         56.81	          9.85	          7.21	0.05	240	300688	--  	--  	--  	
300689	澄天伟业	20201207	20170809	          0.68	--  	--  	7.15	6.17	          0.03	13.26	3.38	2.16	0.28	0.85	1.28	0.43	0.91	0.00	2.47	2.69	1.88	0.34	0.01	0.34	0.28	0.27	0.18	3.05	0.55	-0.05	7646.00	          2573	11.79万	-18.32	9.13	          5.05	57.13	11.58	0.00	0.400㈢	          9.07	0.00	          3.64	          4.49	          0.80	         86.27	   4.36㈢	         30.06	         12.81	         10.01	0.11	820	300689	--  	--  	--  	
300690	双一科技	20201026	20170808	          1.11	--  	--  	16.53	12.47	         -0.01	24.63	12.74	2.53	0.70	4.02	1.50	1.98	4.66	--  	5.68	10.82	6.25	3.38	0.06	3.41	2.86	2.86	2.77	5.30	1.89	0.32	12421.00	          4406	23.75万	135.98	94.55	          4.79	31.58	5.53	1.30	2.620㈢	         11.24	0.00	          5.12	          4.78	          1.71	         75.45	  22.97㈢	         42.24	         31.22	         26.48	0.32	1637	300690	--  	--  	--  	
300691	联合光电	20201202	20170811	          2.23	--  	--  	15.59	9.23	          0.02	40.68	8.99	3.31	0.50	5.99	1.28	2.38	2.79	--  	4.24	8.41	6.76	0.18	0.03	0.17	0.23	0.23	0.19	2.41	0.60	-0.38	13611.00	          7558	11.00万	-49.39	-3.38	          3.51	53.80	3.86	1.04	0.110㈢	          4.14	0.00	          1.90	          1.08	          0.27	         59.21	   2.54㈢	         19.71	          2.13	          2.79	0.77	1253	300691	--  	--  	--  	
300692	中环环保	20201120	20170821	          2.19	--  	--  	31.56	10.84	          1.65	60.45	10.27	1.04	3.31	10.59	0.97	0.06	2.13	--  	4.87	6.50	4.44	1.22	0.00	1.22	1.00	0.96	0.93	3.76	-0.92	-1.26	14947.00	          6984	10.82万	58.73	51.23	          2.51	-37.00	5.23	0.29	0.580㈢	          6.18	6.18	          2.22	          1.72	         -0.42	         34.34	   8.88㈢	         31.72	         18.71	         14.81	0.13	617	300692	--  	--  	--  	
300693	盛弘股份	20201208	20170822	          1.37	--  	--  	11.21	7.18	--  	35.94	9.19	0.18	0.88	4.01	1.77	1.59	3.39	--  	3.14	4.87	2.42	0.79	-0.01	0.79	0.69	0.69	0.53	2.40	0.38	-0.07	16385.00	          4202	10.25万	68.76	17.20	          4.65	86.86	6.86	0.41	0.505㈢	          5.25	0.00	          2.29	          1.75	          0.28	         64.06	   9.63㈢	         50.31	         16.15	         14.21	0.55	724	300693	--  	--  	--  	
300694	蠡湖股份	20201029	20181015	          2.15	--  	--  	17.28	12.54	--  	27.45	9.04	6.76	0.47	4.38	0.45	3.51	3.43	--  	6.62	7.34	5.59	0.63	-0.00	0.62	0.51	0.51	0.39	3.31	2.29	-0.20	28217.00	          4018	4.73万	-43.70	-12.48	          2.02	11.04	3.45	0.68	0.237㈢	          5.82	0.00	          3.07	          1.54	          1.07	         72.55	   4.06㈢	         23.81	          8.60	          6.94	0.36	2223	300694	--  	--  	--  	
300695	兆丰股份	20201030	20170908	          0.67	--  	--  	21.37	18.02	          0.01	15.61	15.78	1.94	0.65	3.04	12.41	1.03	2.21	--  	9.99	3.50	1.87	1.50	-0.00	1.49	1.29	1.29	1.19	6.09	1.55	-2.52	10280.00	          1622	9.72万	-7.57	-8.23	          2.22	25.81	11.42	5.01	1.930㈢	         27.03	0.00	         14.98	          9.13	          2.32	         84.35	   7.13㈢	         46.39	         43.03	         36.75	0.24	604	300695	--  	--  	--  	
300696	爱乐达	20201029	20170822	          1.79	--  	--  	10.09	9.17	--  	9.12	6.67	2.26	0.32	0.46	0.75	1.54	2.35	--  	4.16	1.85	0.58	1.04	0.03	1.04	0.89	0.89	0.82	2.80	-0.85	-0.41	6626.00	         26713	132.74万	99.84	91.62	          9.69	-104.71	47.91	0.27	0.500㈢	          5.13	0.00	          2.33	          1.57	         -0.47	         90.88	   9.66㈢	         68.98	         56.23	         47.77	0.08	478	300696	--  	--  	--  	
300697	电工合金	20201027	20170907	          2.08	--  	--  	12.54	8.65	          0.02	30.84	10.26	1.63	0.00	3.85	1.45	2.34	4.54	0.00	3.17	11.57	9.90	1.06	0.02	1.06	0.84	0.84	0.79	3.09	-0.27	-1.50	9354.00	          5559	9.38万	-25.79	-22.04	          4.06	-127.92	3.04	1.78	0.405㈢	          4.16	0.00	          1.52	          1.49	         -0.13	         68.99	   9.74㈢	         14.38	          9.16	          7.29	0.16	562	300697	--  	--  	--  	
300698	万马科技	20201126	20170831	          1.34	--  	--  	7.40	3.75	          0.59	41.34	6.16	0.59	0.42	2.98	0.39	1.30	2.21	--  	1.61	2.76	2.14	-0.09	0.02	-0.09	-0.08	-0.11	-0.12	0.69	-0.30	-0.36	19591.00	          1018	1.75万	-333.88	-0.22	          6.15	-76.70	8.36	0.00	-0.079㈢	          2.80	0.00	          1.20	          0.52	         -0.22	         50.65	  -2.82㈢	         22.20	         -3.43	         -3.83	0.16	602	300698	--  	--  	--  	
300699	光威复材	20201201	20170901	          5.18	--  	--  	43.97	35.14	          0.40	19.17	26.83	8.64	1.45	4.46	4.76	2.83	2.90	--  	15.23	16.03	7.67	5.98	0.06	5.96	5.24	5.24	4.65	13.97	1.59	-3.51	33626.00	          7823	61.33万	18.06	22.49	         11.57	255.30	25.35	0.64	1.010㈢	          6.78	0.00	          2.94	          2.70	          0.31	         79.91	  14.93㈢	         52.14	         37.32	         32.71	1.88	1657	300699	--  	--  	--  	
300700	岱勒新材	20201030	20170912	          0.82	--  	--  	11.17	5.36	--  	51.96	5.47	3.59	0.40	3.95	1.32	1.43	1.28	--  	2.39	1.86	1.42	0.04	0.00	0.04	0.05	0.05	-0.07	1.46	0.40	-0.58	13343.00	          3847	7.62万	129.26	-3.94	          3.31	41.00	8.79	0.00	0.055㈢	          5.99	5.99	          2.91	          1.77	          0.48	         48.04	   0.84㈢	         23.62	          2.21	          2.44	0.12	766	300700	--  	--  	--  	
300701	森霸传感	20201023	20170915	          1.20	--  	--  	6.79	6.34	--  	6.68	5.77	0.49	0.08	0.41	1.31	0.24	0.22	--  	1.83	2.53	0.99	1.38	0.09	1.38	1.17	1.17	1.09	2.94	1.14	0.73	13208.00	          2878	9.01万	105.38	79.24	          5.92	32.88	14.85	0.67	0.980㈢	          5.28	0.00	          1.53	          2.45	          0.95	         93.32	  18.50㈢	         60.87	         54.37	         46.35	0.07	605	300701	--  	--  	--  	
300702	天宇股份	20201023	20170919	          1.82	--  	--  	34.87	25.54	--  	26.74	18.03	11.15	2.15	8.81	3.41	9.05	3.94	--  	7.21	20.04	9.05	6.75	0.06	6.68	5.78	5.78	5.47	15.69	4.76	1.53	12962.00	          4246	43.31万	30.07	26.62	          7.28	39.04	9.27	0.49	3.210㈢	         14.02	0.00	          3.95	          8.61	          2.61	         73.26	  22.63㈢	         54.85	         33.70	         28.84	1.19	3270	300702	--  	--  	--  	
