代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002361	神剑股份	20201028	20100303	          8.38	--  	--  	35.51	17.59	         -0.00	50.48	21.32	7.65	1.07	17.47	4.34	3.75	9.16	0.42	3.99	12.22	9.69	0.62	-0.06	0.62	0.55	0.55	0.45	5.54	0.44	-1.42	55136.00	          9907	4.97万	-39.18	-18.91	          2.39	95.51	3.44	1.93	0.070㈢	          2.10	0.00	          0.48	          0.66	          0.05	         49.52	   3.11㈢	         20.73	          5.04	          4.48	0.63	1510	002361	--  	--  	--  	
002362	汉王科技	20201130	20100303	          2.17	--  	--  	13.84	9.19	          1.36	23.72	10.59	1.88	0.41	3.27	2.30	4.10	1.06	--  	9.66	9.85	4.53	1.33	0.20	1.34	1.27	0.70	0.67	-2.87	-0.97	-1.09	37790.00	          3591	8.89万	155.04	58.27	          5.84	-55.59	5.45	0.00	0.324㈢	          4.24	0.00	          4.45	         -1.32	         -0.45	         66.45	   7.64㈢	         54.03	         13.47	          7.13	0.91	1771	002362	--  	--  	--  	
002363	隆基机械	20201125	20100305	          4.16	--  	--  	32.22	22.31	          0.66	28.73	20.09	10.05	0.65	8.94	6.41	6.49	4.18	--  	13.78	11.61	9.98	0.64	0.08	0.64	0.55	0.56	0.47	3.73	0.29	0.24	32915.00	          7291	4.58万	-19.05	-4.45	          1.17	90.21	2.25	7.09	0.130㈢	          5.36	0.00	          3.31	          0.90	          0.07	         69.23	   2.50㈢	         14.01	          5.55	          4.81	0.09	2525	002363	--  	--  	--  	
002364	中恒电气	20201204	20100305	          5.64	--  	--  	33.43	21.86	          0.11	34.28	22.18	1.92	0.72	11.43	3.00	6.96	9.92	0.51	10.05	8.01	5.39	0.86	0.06	1.04	0.93	0.96	0.62	7.33	-1.47	-1.54	44173.00	          7161	6.77万	54.12	28.70	          2.44	-36.34	6.66	1.03	0.170㈢	          3.88	0.00	          1.78	          1.30	         -0.26	         65.39	   4.40㈢	         32.63	         10.71	         12.01	0.77	1661	002364	--  	--  	--  	
002365	永安药业	20201023	20100305	          2.95	--  	--  	20.69	17.06	          0.55	14.87	9.46	9.13	0.86	2.65	0.80	1.18	1.34	--  	7.03	8.91	6.12	1.45	0.12	1.43	1.27	1.15	1.00	6.75	1.35	-0.37	24901.00	          8707	8.73万	64.19	-11.74	          1.73	21.87	3.32	1.46	0.400㈢	          5.79	0.00	          2.38	          2.29	          0.46	         82.47	   6.72㈢	         31.32	         16.27	         12.86	0.32	944	002365	--  	--  	--  	
002366	台海核电	20201125	20100312	          8.67	--  	--  	67.05	20.01	          1.73	67.57	35.85	20.00	1.75	42.05	1.16	4.50	9.41	0.25	7.40	3.29	3.35	-3.20	0.00	-3.20	-3.20	-3.16	-3.29	7.86	0.72	0.59	47790.00	         11706	5.09万	-84.41	-19.90	          1.89	52.69	11.48	0.00	-0.360㈢	          2.31	0.00	          0.85	          0.91	          0.08	         29.84	 -15.79㈢	         -2.09	        -97.34	        -96.11	0.56	1183	002366	--  	--  	--  	
002367	康力电梯	20201204	20100312	          7.98	--  	--  	60.64	28.90	          0.25	51.92	42.09	11.85	1.94	30.82	5.97	11.30	8.51	--  	11.88	30.60	20.63	4.47	-0.02	4.42	3.64	3.69	3.43	6.90	4.00	-0.63	40714.00	         10251	10.06万	82.86	12.39	          2.71	19.58	2.56	5.52	0.470㈢	          3.62	0.00	          1.49	          0.86	          0.50	         47.66	  12.75㈢	         32.59	         14.60	         12.04	1.23	4775	002367	--  	--  	--  	
002368	太极股份	20201029	20100312	          5.80	--  	--  	102.09	32.58	          2.49	65.65	73.33	11.01	6.60	53.10	10.53	11.42	37.86	--  	8.04	47.24	36.01	0.69	-0.12	0.69	0.78	0.78	0.65	15.15	-12.12	-11.54	41105.00	          8399	23.60万	2.50	3.06	          5.30	-13.44	3.45	0.62	0.135㈢	          5.30	5.30	          1.39	          2.61	         -2.09	         31.91	   2.40㈢	         23.77	          1.46	          1.65	0.98	4597	002368	--  	--  	--  	
002369	卓翼科技	20201028	20100316	          5.77	--  	--  	34.98	19.80	         -0.10	43.68	14.39	12.56	0.47	12.09	3.27	1.70	8.28	--  	12.87	23.19	20.22	-0.29	0.00	-0.22	-0.14	-0.10	-0.36	1.14	0.73	-1.93	52071.00	          9189	5.21万	-126.28	6.74	          1.65	44.64	1.41	0.00	-0.020㈢	          3.43	0.00	          2.23	          0.20	          0.13	         56.61	  -0.50㈢	         12.82	         -1.25	         -0.42	1.26	15093	002369	--  	--  	--  	
002370	亚太药业	20201028	20100316	          5.37	--  	--  	18.00	5.27	--  	70.74	10.24	5.25	0.57	1.44	8.08	0.86	0.71	--  	13.08	3.61	1.88	-1.07	0.08	-1.07	-1.07	-1.07	-1.18	-15.83	0.11	-3.79	40781.00	          6802	2.92万	-1647.89	-50.26	          7.15	212.37	6.38	0.00	-0.200㈢	          0.60	0.60	          2.44	         -2.95	          0.02	         29.26	 -20.31㈢	         47.79	        -29.58	        -29.65	0.27	781	002370	--  	--  	--  	
002371	北方华创	20201202	20100316	          4.96	--  	--  	158.81	62.97	          2.82	58.57	99.78	21.01	17.97	75.18	23.63	46.86	17.60	--  	41.93	38.36	24.87	4.28	0.00	4.41	3.88	3.27	1.75	16.93	1.65	-5.26	68738.00	          3045	50.21万	48.86	40.16	         12.99	494.95	21.33	0.04	0.670㈢	         12.69	12.69	          8.45	          3.41	          0.33	         39.65	   5.19㈢	         35.17	         11.17	          8.51	2.98	4643	002371	--  	--  	--  	
002372	伟星新材	20201029	20100318	         15.73	--  	--  	48.01	38.33	          0.23	19.67	30.75	11.55	2.60	9.14	14.65	7.80	2.98	4.01	1.75	32.21	17.59	8.71	0.47	8.70	7.36	7.34	7.04	15.87	6.71	-1.25	43649.00	         10871	20.18万	6.04	3.22	          7.62	43.50	9.07	2.69	0.450㈢	          2.44	0.00	          0.11	          1.01	          0.43	         79.85	  19.15㈢	         45.39	         27.04	         22.80	0.99	4480	002372	--  	--  	--  	
002373	千方科技	20201130	20100318	         15.81	--  	--  	181.99	115.67	          3.46	34.54	111.16	5.19	7.34	58.69	29.61	27.54	27.72	1.19	62.51	58.40	39.88	8.77	-0.08	8.52	7.75	7.37	5.28	37.58	0.97	2.96	93567.00	          8147	14.76万	24.60	2.57	          2.48	295.30	4.91	0.36	0.490㈢	          7.32	7.32	          3.95	          2.38	          0.06	         63.56	   6.37㈢	         31.71	         15.02	         12.62	5.18	6226	002373	--  	--  	--  	
002374	丽鹏股份	20201030	20100318	         10.88	--  	--  	62.70	28.62	          1.43	52.08	27.36	5.83	1.15	20.78	6.53	1.83	12.81	0.21	20.66	3.83	3.32	-0.27	-0.00	-0.29	-0.34	-0.37	-0.43	-3.08	0.01	3.34	30309.00	         19359	4.78万	-211.57	-47.72	          0.94	1866.66	7.01	0.00	-0.040㈢	          2.63	0.00	          1.90	         -0.28	          0.00	         45.64	  -1.30㈢	         13.40	         -7.10	         -9.70	0.05	1716	002374	--  	--  	--  	
002375	亚厦股份	20201208	20100323	         13.40	--  	--  	208.33	82.14	          2.58	59.34	171.61	7.77	2.43	123.02	20.20	19.01	41.03	--  	19.09	69.46	59.08	3.10	-0.16	3.09	2.56	2.46	2.30	47.83	-9.12	-10.04	25274.00	         25031	20.20万	-17.55	-7.54	          1.32	-11.85	1.56	0.40	0.190㈢	          6.13	0.00	          1.42	          3.57	         -0.68	         39.43	   2.99㈢	         14.94	          4.46	          3.54	1.80	6847	002375	--  	--  	--  	
